idx;x [m];y [m];z [m];Reff [m]
388;-3.8848;4.3763;-0.3791;0.274
389;-3.8848;4.3763;-0.3624;0.259
390;-3.8848;4.3763;-0.3458;0.244
391;-3.8848;4.3763;-0.3291;0.23
392;-3.8848;4.3763;-0.3124;0.216
393;-3.8848;4.3763;-0.2958;0.202
394;-3.8848;4.3763;-0.2791;0.19
395;-3.8848;4.3763;-0.2624;0.178
396;-3.8848;4.3763;-0.2458;0.167
397;-3.8848;4.3763;-0.2291;0.158
398;-3.8848;4.3763;-0.2124;0.15
399;-3.8848;4.3763;-0.1958;0.143
400;-3.8767;4.3635;-0.4458;0.316
401;-3.8767;4.3635;-0.4291;0.299
402;-3.8767;4.3635;-0.4124;0.283
403;-3.8767;4.3635;-0.3958;0.267
404;-3.8767;4.3635;-0.3791;0.251
405;-3.8767;4.3635;-0.3624;0.236
406;-3.8767;4.3635;-0.3458;0.22
407;-3.8767;4.3635;-0.3291;0.206
408;-3.8767;4.3635;-0.3124;0.192
409;-3.8767;4.3635;-0.2958;0.178
410;-3.8767;4.3635;-0.2791;0.166
411;-3.8767;4.3635;-0.2624;0.154
412;-3.8767;4.3635;-0.2458;0.143
413;-3.8767;4.3635;-0.2291;0.134
414;-3.8767;4.3635;-0.2124;0.126
415;-3.8767;4.3635;-0.1958;0.12
416;-3.8685;4.3508;-0.4458;0.294
417;-3.8685;4.3508;-0.4291;0.277
418;-3.8685;4.3508;-0.4124;0.261
419;-3.8685;4.3508;-0.3958;0.244
420;-3.8685;4.3508;-0.3791;0.228
421;-3.8685;4.3508;-0.3624;0.212
422;-3.8685;4.3508;-0.3458;0.197
423;-3.8685;4.3508;-0.3291;0.182
424;-3.8685;4.3508;-0.3124;0.168
425;-3.8685;4.3508;-0.2958;0.154
426;-3.8685;4.3508;-0.2791;0.141
427;-3.8685;4.3508;-0.2624;0.129
428;-3.8685;4.3508;-0.2458;0.119
429;-3.8685;4.3508;-0.2291;0.11
430;-3.8685;4.3508;-0.2124;0.104
431;-3.8685;4.3508;-0.1958;0.1
432;-3.8603;4.338;-0.4458;0.273
433;-3.8603;4.338;-0.4291;0.256
434;-3.8603;4.338;-0.4124;0.239
435;-3.8603;4.338;-0.3958;0.222
436;-3.8603;4.338;-0.3791;0.206
437;-3.8603;4.338;-0.3624;0.19
438;-3.8603;4.338;-0.3458;0.174
439;-3.8603;4.338;-0.3291;0.159
440;-3.8603;4.338;-0.3124;0.144
441;-3.8603;4.338;-0.2958;0.13
442;-3.8603;4.338;-0.2791;0.117
443;-3.8603;4.338;-0.2624;0.105
444;-3.8603;4.338;-0.2458;0.095
445;-3.8603;4.338;-0.2291;0.088
446;-3.8603;4.338;-0.2124;0.083
447;-3.8603;4.338;-0.1958;0.081
448;-3.8521;4.3252;-0.4458;0.252
449;-3.8521;4.3252;-0.4291;0.235
450;-3.8521;4.3252;-0.4124;0.217
451;-3.8521;4.3252;-0.3958;0.2
452;-3.8521;4.3252;-0.3791;0.184
453;-3.8521;4.3252;-0.3624;0.167
454;-3.8521;4.3252;-0.3458;0.151
455;-3.8521;4.3252;-0.3291;0.136
456;-3.8521;4.3252;-0.3124;0.12
457;-3.8521;4.3252;-0.2958;0.106
458;-3.8521;4.3252;-0.2791;0.093
459;-3.8521;4.3252;-0.2624;0.082
460;-3.8521;4.3252;-0.2458;0.073
461;-3.8521;4.3252;-0.2291;0.067
462;-3.8521;4.3252;-0.2124;0.065
463;-3.8521;4.3252;-0.1958;0.068
464;-3.8439;4.3125;-0.4458;0.232
465;-3.8439;4.3125;-0.4291;0.214
466;-3.8439;4.3125;-0.4124;0.196
467;-3.8439;4.3125;-0.3958;0.179
468;-3.8439;4.3125;-0.3791;0.162
469;-3.8439;4.3125;-0.3624;0.145
470;-3.8439;4.3125;-0.3458;0.129
471;-3.8439;4.3125;-0.3291;0.113
472;-3.8439;4.3125;-0.3124;0.097
473;-3.8439;4.3125;-0.2958;0.083
474;-3.8439;4.3125;-0.2791;0.07
475;-3.8439;4.3125;-0.2624;0.058
476;-3.8439;4.3125;-0.2458;0.052
477;-3.8439;4.3125;-0.2291;0.051
478;-3.8439;4.3125;-0.2124;0.053
479;-3.8439;4.3125;-0.1958;0.06
480;-3.8357;4.2997;-0.4458;0.212
481;-3.8357;4.2997;-0.4291;0.194
482;-3.8357;4.2997;-0.4124;0.176
483;-3.8357;4.2997;-0.3958;0.159
484;-3.8357;4.2997;-0.3791;0.141
