!      r     n_20m3_e      T_keV_e      T_keV_H
3.747665940288702480e-01 4.824553930796185996e-01 4.541048758425497711e-01 4.305936394591163840e-01
3.784957067127710517e-01 4.772429391172610669e-01 4.444509111003868140e-01 4.204996098133469973e-01
3.821884351991829409e-01 4.722572244939955977e-01 4.349235510858730502e-01 4.107562377279546650e-01
3.858458241318674653e-01 4.674868643035594018e-01 4.255208209256629570e-01 4.013366307841738090e-01
3.894688691025253724e-01 4.629210741134593965e-01 4.162406670963592070e-01 3.922154302233020751e-01
3.930585198160701510e-01 4.585513149619935835e-01 4.070820493744499169e-01 3.833711361208624324e-01
3.966156829980378440e-01 4.544200411047754629e-01 3.980784539129458843e-01 3.748480389594704421e-01
4.001412250693497930e-01 4.504617510400919511e-01 3.891927049285288653e-01 3.665466751195465833e-01
4.036359746107871516e-01 4.466674712212408416e-01 3.804222844651956037e-01 3.584486629212330078e-01
4.071007246370362820e-01 4.430287369137335118e-01 3.717646348600461281e-01 3.505373724844061400e-01
4.105362346979862243e-01 4.395497048570473630e-01 3.632267230855484308e-01 3.428111102949366051e-01
4.139432328230526759e-01 4.362524865602729895e-01 3.548318986054962987e-01 3.352857672783943199e-01
4.173224173226260381e-01 4.330840610033832028e-01 3.465430934225343096e-01 3.278973144288046537e-01
4.206744584592699288e-01 4.300375127867575031e-01 3.383574935747967194e-01 3.206356908797764471e-01
4.240000000000000435e-01 4.271063995172962313e-01 3.302723466790863371e-01 3.134917623114726881e-01
4.272996606598231661e-01 4.243354660441588933e-01 3.223341924585170770e-01 3.065062129771977673e-01
4.305740354457059382e-01 4.216628650340668027e-01 3.144914612263256526e-01 2.996156628571531866e-01
4.338236969092398865e-01 4.190831443035042403e-01 3.067413682863499580e-01 2.928142265727232130e-01
4.370491963154720660e-01 4.165992450051448359e-01 2.990899574356079005e-01 2.861039590176262526e-01
4.402510647346580264e-01 4.142343886162962452e-01 2.915692414083099204e-01 2.795061286826786562e-01
4.434298140630600904e-01 4.119419396570022651e-01 2.841331227326048259e-01 2.729767249582313871e-01
4.465859379783470029e-01 4.097178707393822061e-01 2.767790651402055047e-01 2.665120832858519639e-01
4.497199128346442421e-01 4.075822004929671172e-01 2.695373460133032029e-01 2.601317071467103004e-01
4.528321985018291529e-01 4.055173708504997698e-01 2.623936918761078929e-01 2.538200244277829531e-01
4.559232391532592188e-01 4.035035135412110008e-01 2.553244491318261700e-01 2.475584965006440430e-01
4.589934640057524717e-01 4.015461201352699128e-01 2.483413156878019612e-01 2.413532223511622998e-01
4.620432880153114152e-01 3.996539062583548407e-01 2.414692965090201315e-01 2.352155348118928069e-01
4.650731125317825176e-01 3.977973972474382891e-01 2.346647015019643623e-01 2.291165901229076651e-01
4.680833259153758807e-01 3.959763192113546770e-01 2.279289370659280944e-01 2.230565955362182884e-01
4.710743041177262724e-01 3.942066035741664809e-01 2.213098856285374838e-01 2.170581518952155731e-01
4.740464112299554444e-01 3.924594953597197455e-01 2.147524561951677791e-01 2.110903035973993314e-01
4.770000000000000351e-01 3.907341225617660396e-01 2.082549560058110649e-01 2.051521043469900496e-01
4.799354123212831169e-01 3.890418988815741996e-01 2.018745350756576129e-01 1.992690133641459860e-01
4.828529796946478547e-01 3.873613485970380244e-01 1.955517437906812983e-01 1.934123381821560017e-01
4.857530236653190836e-01 3.856928005362039724e-01 1.892882055211689007e-01 1.875828229080864218e-01
4.886358562365230584e-01 3.840383290798652927e-01 1.831392988389788645e-01 1.818061242264104593e-01
4.915017802612723363e-01 3.823867018023989761e-01 1.770463636512788208e-01 1.760562206124609286e-01
4.943510898137071785e-01 3.807382142265827163e-01 1.710211808573683379e-01 1.703388275985207312e-01
4.971840705412835515e-01 3.790870653733001694e-01 1.651069279267246281e-01 1.646786582635461627e-01
5.000009999990000509e-01 3.774319191592664935e-01 1.592493600525760333e-01 1.590499053693970599e-01
5.028021479667723614e-01 3.757692096260077386e-01 1.534801629420000924e-01 1.534712281699844305e-01
5.055877767509812104e-01 3.740921732329222094e-01 1.478157980189933052e-01 1.479583807805195106e-01
5.083581414711483282e-01 3.724061123690870501e-01 1.422104249124226116e-01 1.424841703921097269e-01
5.111134903326266521e-01 3.706976988553516428e-01 1.367315639025249163e-01 1.370977835454294524e-01
5.138540648861309457e-01 3.689705565960725853e-01 1.313434568642837530e-01 1.317803498690274799e-01
5.165801002748751092e-01 3.672284313403585965e-01 1.260279530033677764e-01 1.265180787288480713e-01
5.192918254700337188e-01 3.654484100024741333e-01 1.208791105788945552e-01 1.213925036019239262e-01
5.219894634951935952e-01 3.636515849494966202e-01 1.158004123511177791e-01 1.163275507954011218e-01
5.246732316404183472e-01 3.618223114655760297e-01 1.108558810194023303e-01 1.113796644726307850e-01
5.273433416665086471e-01 3.599583258665869367e-01 1.060491453694175495e-01 1.065579330699926303e-01
5.300000000000000266e-01 3.580764361240362237e-01 1.013134832815885678e-01 1.018012710472121357e-01
