T Z1 Z2 Z3 Z4 Z5
1290.81049899207 6.82717395671562E-16 1.11247879095621E-9 2.02639643363786E-5 0.0268577707877569 99.9731219641354
1304.27959334289 6.46522417674227E-16 1.06719676645666E-9 1.96834137315729E-5 0.0264918458509886 99.9734884696681
1317.88923233817 6.12272479290926E-16 1.02379400317419E-9 1.9120219236707E-5 0.0261315543473643 99.9738493244096
1331.64088250539 5.79861695844838E-16 9.82191072805939E-10 1.85738422410424E-5 0.0257768019420014 99.9742046232336
1345.53602567465 5.4919001893375E-16 9.42311962519086E-10 1.80437614155525E-5 0.0254274959895972 99.9745544593067
1359.5761591384 5.20162910872174E-16 9.04083925663958E-10 1.75294721414095E-5 0.0250835455024281 99.9748989241213
1373.7627958127 4.92691037503852E-16 8.67437339114439E-10 1.70304859579024E-5 0.0247448611189857 99.9752381075276
1388.09746440031 4.66689978336514E-16 8.32305566937101E-10 1.65463300291072E-5 0.0244113550732329 99.9755720977644
1402.58170955539 4.42079953011116E-16 7.98624830104072E-10 1.60765466286555E-5 0.0240829411644732 99.9759009814903
1417.21709204996 4.18785563174889E-16 7.66334081977835E-10 1.56206926419737E-5 0.0237595347278132 99.9762248438132
1432.00518894205 3.96735548880869E-16 7.35374889308214E-10 1.51783390853811E-5 0.0234410526052129 99.9765437683203
1446.9475937457 3.75862558687359E-16 7.05691318494082E-10 1.47490706414655E-5 0.0231274131171067 99.9768578371066
1462.0459166026 3.5610293267813E-16 6.77229826873235E-10 1.43324852101674E-5 0.0228185360345863 99.977167130803
1477.30178445566 3.37396497669036E-16 6.49939158814899E-10 1.39281934750304E-5 0.0225143425521328 99.9774717286045
1492.71684122427 3.19686373908895E-16 6.23770246399424E-10 1.35358184840896E-5 0.0222147552608856 99.9777717082969
1508.29274798148 3.02918792622214E-16 5.98676114479636E-10 1.31549952448941E-5 0.0219196981224404 99.9780671462836
1524.03118313296 2.87042923778809E-16 5.74611789927652E-10 1.27853703331705E-5 0.0216290964431609 99.9783581176119
1539.93384259789 2.72010713510603E-16 5.51534214879814E-10 1.24266015146605E-5 0.021342876848998 99.978644695998
1556.00243999168 2.57776730629063E-16 5.29402163800929E-10 1.20783573796733E-5 0.0210609672608027 99.9789269538524
1572.23870681065 2.44298021728164E-16 5.08176164197168E-10 1.17403169899163E-5 0.0207832968701248 99.9792049623047
1588.6443926186 2.31536005436234E-16 4.87821786910956E-10 1.14122990188281E-5 0.0205100024242563 99.9794785847889
1605.2212652353 2.19456093263747E-16 4.68309370251732E-10 1.1094261672837E-5 0.0202414442891174 99.9797474609809
1621.97111092705 2.08014574750697E-16 4.49592057839483E-10 1.0785446818602E-5 0.019976817880734 99.9800123962229
1638.89573459912 1.97177293721482E-16 4.31636877851797E-10 1.04855774517935E-5 0.0197160608810448 99.9802734531099
1655.99695999024 1.86911943272561E-16 4.14412248623421E-10 1.0194385155474E-5 0.0194591120250848 99.9805306931754
1673.27662986914 1.77187964499284E-16 3.97887919103829E-10 9.91160982610097E-6 0.0192059110822076 99.9807841769101
1690.73660623309 1.67976450830275E-16 3.82034911903612E-10 9.63699940850649E-6 0.0189563988376572 99.9810339637809
1708.37877050859 1.59250057655605E-16 3.66825468815577E-10 9.37030963955271E-6 0.0187105170744855 99.981280112249
1726.20502375405 1.50982916952616E-16 3.52232998701377E-10 9.11130380017146E-6 0.0184682085558047 99.9815226797882
1744.21728686469 1.43150556630111E-16 3.38232027639572E-10 8.85975247550773E-6 0.0182294170073721 99.9817617229019
1762.41750077949 1.35729824327292E-16 3.24798151235478E-10 8.61543332289473E-6 0.0179940871004987 99.9819972971414
1780.80762669037 1.28698815418778E-16 3.11907988997748E-10 8.37813084739872E-6 0.017762164435275 99.982229457122
1799.38964625351 1.2203680499104E-16 2.99539140690833E-10 8.14763618468138E-6 0.017533595524109 99.9824582565402
1818.16556180286 1.15724183568805E-16 2.87670144576443E-10 7.92374689093323E-6 0.0173083277755707 99.9826837481899
1837.13739656596 1.09742396382473E-16 2.76280437461122E-10 7.70626673964409E-6 0.0170863094785347 99.9829059839784
1856.30719488191 1.04073885979359E-16 2.65350316470669E-10 7.49500552498136E-6 0.0168674897866185 99.9831250149425
1875.67702242167 9.87020379926454E-17 2.54860902475644E-10 7.28977887155581E-6 0.0166518187029081 99.9833408912634
1895.24896641066 9.36111298924367E-17 2.44794105095649E-10 7.09040805036282E-6 0.0164392470649668 99.9835536622822
1915.02513585368 8.87862825531273E-17 2.35132589213195E-10 6.89671980069292E-6 0.0162297265301212 99.9837633765149
1935.00766176214 8.42134144806519E-17 2.25859742931106E-10 6.70854615781344E-6 0.0160232095610194 99.983970081667
1955.19869738372 7.98791985519399E-17 2.16959646910308E-10 6.52572428622936E-6 0.0158196494114554 99.9841738246473
1975.60041843436 7.57710211271923E-17 2.08417045027662E-10 6.34809631833843E-6 0.0156190001124556 99.9843746515828
1996.21502333276 7.18770786327437E-17 2.00217640526156E-10 6.1755230233365E-6 0.0154212473087065 99.984572576968
2017.04473343723 6.81884509870601E-17 1.9235321282921E-10 6.00810663268468E-6 0.0152269155314443 99.9847670761696
2038.09179328508 6.46914143820384E-17 1.84803121171079E-10 5.84539801236906E-6 0.0150352862338737 99.9849588681833
2059.35847083445 6.13759012439398E-17 1.77554592887427E-10 5.68726038075111E-6 0.0148463189878175 99.9851479935742
2080.84705770875 5.8232378972762E-17 1.70595382509206E-10 5.53356104979722E-6 0.0146599740070807 99.9853344922613
2102.55986944355 5.52518212059637E-17 1.6391374967532E-10 5.38417129919472E-6 0.0144762121367274 99.9855184035281
2124.49924573613 5.24256806419706E-17 1.57498437983946E-10 5.23896625443751E-6 0.014294994842544 99.9856997660337
2146.66755069758 4.97458633379385E-17 1.5133865474208E-10 5.09782476875304E-6 0.0141162842006875 99.9858786178232
2169.06717310752 4.72047044009777E-17 1.45424051574611E-10 4.96062930874618E-6 0.0139400428875125 99.9860549963378
2191.70052667156 4.47949449965326E-17 1.3974470585596E-10 4.82726584364107E-6 0.0137662341695769 99.9862289384248
2214.57005028138 4.25097106018157E-17 1.34291102928916E-10 4.69762373800454E-6 0.0135948218938205 99.9864004803482
2237.6782082775 4.03424904361809E-17 1.29054119076798E-10 4.57159564783898E-6 0.0134257704779151 99.9865696577974
