idx;x [m];y [m];z [m];Reff [m]
213;-3.6505;4.0114;-0.2672;0.478
214;-3.6505;4.0114;-0.2315;0.52
215;-3.6505;4.0114;-0.1958;NaN
216;-3.634;3.9855;-0.4458;0.353
217;-3.634;3.9855;-0.41;0.379
218;-3.634;3.9855;-0.3743;0.409
219;-3.634;3.9855;-0.3386;0.443
220;-3.634;3.9855;-0.3029;0.48
221;-3.634;3.9855;-0.2672;0.521
222;-3.634;3.9855;-0.2315;NaN
223;-3.634;3.9855;-0.1958;NaN
224;-3.6174;3.9597;-0.4458;0.389
225;-3.6174;3.9597;-0.41;0.416
226;-3.6174;3.9597;-0.3743;0.447
227;-3.6174;3.9597;-0.3386;0.482
228;-3.6174;3.9597;-0.3029;0.521
229;-3.6174;3.9597;-0.2672;NaN
230;-3.6174;3.9597;-0.2315;NaN
231;-3.6174;3.9597;-0.1958;NaN
232;-3.6008;3.9339;-0.4458;0.424
233;-3.6008;3.9339;-0.41;0.453
234;-3.6008;3.9339;-0.3743;0.485
235;-3.6008;3.9339;-0.3386;0.521
236;-3.6008;3.9339;-0.3029;NaN
237;-3.6008;3.9339;-0.2672;NaN
238;-3.6008;3.9339;-0.2315;NaN
239;-3.6008;3.9339;-0.1958;NaN
240;-3.5842;3.9081;-0.4458;0.459
241;-3.5842;3.9081;-0.41;0.488
242;-3.5842;3.9081;-0.3743;0.521
243;-3.5842;3.9081;-0.3386;NaN
244;-3.5842;3.9081;-0.3029;NaN
245;-3.5842;3.9081;-0.2672;NaN
246;-3.5842;3.9081;-0.2315;NaN
247;-3.5842;3.9081;-0.1958;NaN
248;-3.5676;3.8823;-0.4458;0.492
249;-3.5676;3.8823;-0.41;0.522
250;-3.5676;3.8823;-0.3743;NaN
251;-3.5676;3.8823;-0.3386;NaN
252;-3.5676;3.8823;-0.3029;NaN
253;-3.5676;3.8823;-0.2672;NaN
254;-3.5676;3.8823;-0.2315;NaN
255;-3.5676;3.8823;-0.1958;NaN
256;-3.5511;3.8565;-0.4458;0.525
257;-3.5511;3.8565;-0.41;NaN
258;-3.5511;3.8565;-0.3743;NaN
259;-3.5511;3.8565;-0.3386;NaN
260;-3.5511;3.8565;-0.3029;NaN
261;-3.5511;3.8565;-0.2672;NaN
262;-3.5511;3.8565;-0.2315;NaN
263;-3.5511;3.8565;-0.1958;NaN
264;-3.5345;3.8306;-0.4458;NaN
265;-3.5345;3.8306;-0.41;NaN
266;-3.5345;3.8306;-0.3743;NaN
267;-3.5345;3.8306;-0.3386;NaN
268;-3.5345;3.8306;-0.3029;NaN
269;-3.5345;3.8306;-0.2672;NaN
270;-3.5345;3.8306;-0.2315;NaN
271;-3.5345;3.8306;-0.1958;NaN
272;-3.5179;3.8048;-0.4458;NaN
273;-3.5179;3.8048;-0.41;NaN
274;-3.5179;3.8048;-0.3743;NaN
275;-3.5179;3.8048;-0.3386;NaN
276;-3.5179;3.8048;-0.3029;NaN
277;-3.5179;3.8048;-0.2672;NaN
278;-3.5179;3.8048;-0.2315;NaN
279;-3.5179;3.8048;-0.1958;NaN
280;-3.5013;3.779;-0.4458;NaN
281;-3.5013;3.779;-0.41;NaN
282;-3.5013;3.779;-0.3743;NaN
283;-3.5013;3.779;-0.3386;NaN
284;-3.5013;3.779;-0.3029;NaN
285;-3.5013;3.779;-0.2672;NaN
286;-3.5013;3.779;-0.2315;NaN
287;-3.5013;3.779;-0.1958;NaN
288;-3.4848;3.7532;-0.4458;NaN
289;-3.4848;3.7532;-0.41;NaN
