T Z1 Z2 Z3 Z4 Z5 Z6
501.897874189839 2.01839727552252E-17 8.29374050754729E-12 1.38570477799063E-6 0.0035029030534843 0.461531684372441 99.534964026861
507.134978960231 1.8684898735989E-17 7.77847256120233E-12 1.31796021134227E-6 0.00336810671525526 0.451754620513269 99.5448759548035
512.426730836711 1.72998779116261E-17 7.29626578395435E-12 1.25365176256356E-6 0.00323892512253013 0.442230558431716 99.5545292627867
517.773700040103 1.6020038430371E-17 6.84493678257712E-12 1.19259942725884E-6 0.00311510970298183 0.432952241449347 99.5639314562414
523.176462741262 1.48372128338682E-17 6.42245016576252E-12 1.13463290402415E-6 0.00299642345289191 0.423912638107892 99.5730898037999
528.635601123153 1.3743881058249E-17 6.0269082712431E-12 1.0795910580185E-6 0.00288264037571585 0.415104934782272 99.5820113452449
534.15170344359 1.2733118129654E-17 5.65654162151094E-12 1.02732141485642E-6 0.0027735449488714 0.406522528544779 99.5907028991793
539.725364098625 1.17985461611746E-17 5.30970005543479E-12 9.77679683075298E-7 0.00266893161728923 0.398159020271753 99.599171070426
545.357183686594 1.09348249841943E-17 4.98540034697506E-12 9.30531008033562E-7 0.00256871465877757 0.390022883287891 99.6074074715173
551.04776907284 1.01370014368709E-17 4.68271216825433E-12 8.8574778874769E-7 0.00247281815738428 0.382123929370325 99.6154023667198
556.797733455104 9.39872823198948E-18 4.39888588357191E-12 8.43203373154678E-7 0.0023807859439078 0.374419680972277 99.623198689876
562.6076964296 8.71546598588831E-18 4.13271787722425E-12 8.02782042354888E-7 0.00229245275792485 0.366904817848906 99.630801926607
568.478284057784 8.08302817035211E-18 3.88308303148355E-12 7.64374238524036E-7 0.0022076607626542 0.359574177128169 99.6382173977311
574.410128933814 7.49755318013641E-18 3.64892950329879E-12 7.27876228102768E-7 0.00212625919732927 0.352422748382954 99.6454502645398
580.403870252716 6.95547864961771E-18 3.42927385503724E-12 6.93189783837018E-7 0.00204810404643475 0.345445668863701 99.6525055338966
586.460153879263 6.45351783456472E-18 3.2231965148592E-12 6.60221884592005E-7 0.00197305772496464 0.338638218886177 99.6593880631637
592.579632417569 5.98863789030658E-18 3.02983754402747E-12 6.28884431925415E-7 0.0019009887789018 0.331995817369262 99.6661025649644
598.762965281412 5.55803989156577E-18 2.84839269004081E-12 5.99093982464273E-7 0.00183177160016045 0.325514017517792 99.6726536117852
605.010818765293 5.15914045203921E-18 2.67810970595536E-12 5.70771495185468E-7 0.00176528615527156 0.319188502645617 99.6790456404249
611.323866116229 4.78955481354984E-18 2.51828491762794E-12 5.43842092752075E-7 0.00170141772712784 0.313015082134238 99.685282956294
617.702787606303 4.44708128534641E-18 2.36826002188904E-12 5.1823483610679E-7 0.00164005666914002 0.306989687522533 99.6913697375711
624.148270605966 4.12968692398317E-18 2.22741909983674E-12 4.93882511570052E-7 0.00158109817118916 0.301108368723207 99.6973100392209
630.661009658106 3.83549435323689E-18 2.09518583054148E-12 4.7072142973381E-7 0.00152444203679051 0.295367290361743 99.7031077968779
637.241706552892 3.56276963179711E-18 1.97102089147511E-12 4.48691235483046E-7 0.00146999247091508 0.289762728233816 99.7087668306021
643.891070403393 3.30991108404548E-18 1.85441953292665E-12 4.27734728515602E-7 0.00141765787794235 0.284291065877225 99.7142908485083
650.60981772199 3.07543901619278E-18 1.74490931455077E-12 4.07797693767167E-7 0.0013673506692447 0.278948791254527 99.7196834502768
657.398672497587 2.85798624641332E-18 1.64204799301563E-12 3.8882874118245E-7 0.00131898707992917 0.273732493542702 99.724948130547
664.258366273625 2.65628938346002E-18 1.54542155048074E-12 3.70779154305839E-7 0.00127248699428664 0.268638860026316 99.7300882821987
671.189638226908 2.46918079359863E-18 1.45464235434409E-12 3.53602747194918E-7 0.00122777377952057 0.263664673090712 99.7351071995256
678.193235247258 2.29558120061264E-18 1.36934743935847E-12 3.3725572918892E-7 0.00118477412734958 0.258806807311936 99.7400080813036
685.269912017994 2.13458004992492E-18 1.28921011258129E-12 3.21708077334438E-7 0.00114346593848071 0.254073316999496 99.7447828953527
692.420431097256 1.98573978272874E-18 1.21398692256727E-12 3.06986921200212E-7 0.00110406487979891 0.249528229176606 99.7493673989555
699.645563000175 1.84748385240783E-18 1.14327061517734E-12 2.92960493030502E-7 0.00106611468407863 0.245079031765518 99.7538545605888
