T Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8
167.01099733682 2.47116752982618E-15 7.12343936397105E-11 3.61558025810954E-7 0.000394218374971767 0.221012970763475 52.7122686153339 40.9569602873944 6.10936354650392
168.753690693058 2.25723968812959E-15 6.6122769013442E-11 3.41459562760462E-7 0.000378968408857712 0.216651899510759 51.4928286945822 41.6562120960275 6.633927999945
170.5145683616 2.06046624678889E-15 6.13360765444822E-11 3.22250638803583E-7 0.000364042018283517 0.212213781832459 50.2691107810363 42.325348574955 7.19296249784598
172.293820088516 1.879581383435E-15 5.68564941928737E-11 3.03904403415948E-7 0.000349444206121828 0.207704774141222 49.0422664045763 42.9620983487031 7.78758072441202
174.0916375998 1.71340555274825E-15 5.26670373575369E-11 2.86394385061681E-7 0.000335179618184444 0.203131270509488 47.8134783427903 43.5642460171073 8.41880890352772
175.90821462203 1.56083998113602E-15 4.87515241837613E-11 2.69694491893443E-7 0.000321252530793693 0.198499891392682 46.5839589489645 44.1296482069907 9.08757143037811
177.743746903244 1.42086149048522E-15 4.50945420341495E-11 2.53779011555505E-7 0.000307666837394417 0.193817470202149 45.3549480915084 44.6562500573744 9.79467646025351
179.598432234034 1.29251763288139E-15 4.16814151035318E-11 2.3862261014383E-7 0.00029442603416195 0.189091037530369 44.1277106616561 45.1421019631929 10.5408016729222
181.472470468856 1.17492211933073E-15 3.84981731659456E-11 2.24200330427052E-7 0.000281533204625667 0.184327802859656 42.9035336123933 45.5853763774266 11.326480449877
183.36606354757 1.06725052653463E-15 3.55315214474981E-11 2.10487589478157E-7 0.000268991003397378 0.179535133624519 41.6837224997122 45.9843844485271 12.1520887166096
185.279415517198 9.68736266661814E-16 3.27688116227899E-11 1.9746017590715E-7 0.000256801639166564 0.174720531546853 40.4695975074272 46.3375922500792 13.0178327118146
187.21273255391 8.78666805850604E-16 3.01980139345179E-11 1.85094246918184E-7 0.000244966857197721 0.169891606221414 39.2624889487131 46.6436363439395 13.9237379491443
189.166222985243 7.96380117867957E-16 2.78076904359497E-11 1.73366325439229E-7 0.000233487921635888 0.165056045995478 38.0637322510103 46.9013384076681 14.8696396340105
