T Z1 Z2 Z3 Z4 Z5 Z6 Z7
843.384992613325 1.79909756815139E-20 3.9117058754038E-15 2.59630103202928E-10 5.87731972119216E-6 0.00567370406354958 0.563528219595679 99.4307921987614
852.185379694506 1.64329464507486E-20 3.62130887787042E-15 2.43757269729428E-10 5.59944079680216E-6 0.0054672639841745 0.552728513468618 99.4417986228626
861.077595315982 1.50114640359888E-20 3.35280358442043E-15 2.28875040623811E-10 5.33510557329301E-6 0.00526885502736449 0.542175450367203 99.452550359271
870.062597672061 1.37144241112298E-20 3.10451562211442E-15 2.14920403682601E-10 5.08363577714136E-6 0.00507814764336028 0.531862826829976 99.463053941676
879.14135495543 1.25308071073573E-20 2.87490044311666E-15 2.01834426319884E-10 4.84438793843033E-6 0.00489482641841058 0.521784606903569 99.4733157220882
888.314845461478 1.14505799819715E-20 2.66253312788732E-15 1.89561987087548E-10 4.61675156589421E-6 0.00471858944532581 0.511934917400939 99.4833418762126
897.584057693719 1.04646069732326E-20 2.46609899904171E-15 1.78051525132161E-10 4.40014741949652E-6 0.00454914772294994 0.502308043296944 99.4931384086546
906.94999047031 9.56456850825084E-21 2.28438498068834E-15 1.67254806373565E-10 4.19402587524355E-6 0.00438622458318796 0.492898423257379 99.5027111579663
916.413653031675 8.74288751382121E-21 2.11627164335625E-15 1.57126705273635E-10 3.99786537722706E-6 0.00422955514429177 0.483700645297625 99.5120658015356
925.976065149263 7.99266244731523E-21 1.96072587948445E-15 1.4762500114116E-10 3.811170972165E-6 0.00407888578916957 0.474709442567201 99.521207860325
935.638257235432 7.30760642898215E-21 1.81679415891067E-15 1.38710187990933E-10 3.63347292196892E-6 0.00393397366754286 0.465919689256603 99.5301427034642
945.401270454483 6.6819919144058E-21 1.68359631789553E-15 1.30345297042377E-10 3.46432539011315E-6 0.00379458622083183 0.457326396622881 99.5388755527005
955.266156834853 6.11060039796387E-21 1.56031983898049E-15 1.22495731005479E-10 3.30330519781197E-6 0.00366050072870311 0.448924709130538 99.5474114867131
965.233979382477 5.58867668536112E-21 1.44621458243375E-15 1.15129109360061E-10 3.15001064623076E-6 0.00353150387626545 0.440709900704417 99.5557554452935
975.305812195334 5.11188731611367E-21 1.34058793321047E-15 1.08215123888568E-10 3.00406040116396E-6 0.00340739134094686 0.432677371091293 99.5639122333991
985.48274057919 4.67628275566543E-21 1.24280033026742E-15 1.01725403773007E-10 2.86509243680806E-6 0.00328796739813341 0.424822642327072 99.5718865250806
995.765861164542 4.27826301199661E-21 1.1522611477479E-15 9.56333896135986E-11 2.7327630354425E-6 0.00317304454469339 0.417141355306456 99.5796828672902
1006.15628202479 3.91495891300711E-21 1.0685307754454E-15 8.99225598950416E-11 2.60697520228466E-6 0.00306287473580668 0.409677896567397 99.5872566216317
1016.65512279565 3.58298886910231E-21 9.91008274975223E-16 8.45622232963381E-11 2.4872224191569E-6 0.00295692678683414 0.402389514999714 99.5946510709065
1027.26351479578 3.27948170054988E-21 9.19190768444673E-16 7.952757828561E-11 2.37312677197762E-6 0.00285487706776356 0.395254153568949 99.601888596157
1037.9826011487 3.00197093754096E-21 8.52652698215111E-16 7.47984800788219E-11 2.26441415834334E-6 0.00275657474718656 0.388268277502976 99.6089728832609
1048.81353690597 2.74820603847893E-21 7.91000661642592E-16 7.03560508491938E-11 2.16082406622595E-6 0.00266187508335791 0.38142843974082 99.6159075242814
1059.75748917165 2.51613329993006E-21 7.33870951544353E-16 6.61825987912891E-11 2.062108885891E-6 0.00257063916918524 0.374731278642518 99.6226960200132
1070.81563722809 2.30387847031009E-21 6.80927286996447E-16 6.22615424314575E-11 1.96803325731869E-6 0.00248273368823802 0.368173515760656 99.6293417824556
1081.98917266294 2.10973091386858E-21 6.31858719570073E-16 5.85773398399066E-11 1.87837345126486E-6 0.00239803068128701 0.361751953671957 99.6358481372147
1093.27929949763 1.93212918547279E-21 5.8637770129179E-16 5.51154224226137E-11 1.79291678219804E-6 0.00231640732290717 0.355463473867271 99.6422183258379
1104.68723431706 1.76964788935474E-21 5.44218301696216E-16 5.18621329926844E-11 1.71146105144269E-6 0.00223774570769865 0.349305034698378 99.648455508081
1116.21420640072 1.6209857064881E-21 5.05134562336754E-16 4.88046678407129E-11 1.6338140189475E-6 0.00216193264569995 0.34327366938009 99.6545627641114
1127.86145785513 1.48495448571325E-21 4.68898978037601E-16 4.59310225423202E-11 1.55979290218149E-6 0.00208885946658756 0.337366484046109 99.6605430966485
