# s, n_e, T_e
6.909090909090909172e-01 5.414389793638068750e+13 2.933917690609076923e-01
7.030303030303030054e-01 5.382374028232195312e+13 2.827461686524105344e-01
7.151515151515152047e-01 5.350890217952795312e+13 2.723070494188968849e-01
7.272727272727272929e-01 5.319742215494524219e+13 2.620117772337587358e-01
7.393939393939393812e-01 5.288916644236500000e+13 2.518581238426036428e-01
7.515151515151514694e-01 5.258554519918937500e+13 2.419185744246727665e-01
7.636363636363636687e-01 5.228622821640437500e+13 2.321905064345915481e-01
7.757575757575757569e-01 5.199007899261403906e+13 2.226226937010951368e-01
7.878787878787878451e-01 5.169810426145578125e+13 2.132713991123632580e-01
8.000000000000000444e-01 5.141094092607746875e+13 2.041828313885253321e-01
8.121212121212121327e-01 5.112679110290410938e+13 1.952644268457967569e-01
8.242424242424242209e-01 5.084663052987995312e+13 1.865755117565851273e-01
8.363636363636363091e-01 5.057127407371029688e+13 1.781786257138759100e-01
8.484848484848485084e-01 5.029869072668132031e+13 1.699566788273196294e-01
8.606060606060605966e-01 5.003019090006220312e+13 1.619982082689438163e-01
8.727272727272726849e-01 4.976595877089976562e+13 1.543336000075755388e-01
8.848484848484848841e-01 4.950419638685691406e+13 1.468445201403774103e-01
8.969696969696969724e-01 4.924683272966841406e+13 1.396806187994384107e-01
9.090909090909090606e-01 4.899273583248278125e+13 1.327776881018268573e-01
9.212121212121212599e-01 4.874077521737290625e+13 1.260465403381487992e-01
9.333333333333333481e-01 4.849361336801679688e+13 1.197327183687476593e-01
9.454545454545454364e-01 4.824840940658532812e+13 1.136058971218713159e-01
9.575757575757575246e-01 4.800586257876588281e+13 1.077328625698500270e-01
9.696969696969697239e-01 4.776668769810386719e+13 1.022176260259383268e-01
9.818181818181818121e-01 4.752895290117635156e+13 9.686334343372372813e-02
9.939393939393939004e-01 4.729438471188766406e+13 9.188840198474595988e-02
1.006060606060606100e+00 9.999999999999999547e-07 8.414361474367060278e-02
1.018181818181818077e+00 9.999999999999999547e-07 7.453828731687801856e-02
1.030303030303030276e+00 9.999999999999999547e-07 6.602944612088194887e-02
1.042424242424242475e+00 9.999999999999999547e-07 5.849192290259699195e-02
1.054545454545454453e+00 9.999999999999999547e-07 5.181483786157889404e-02
1.066666666666666652e+00 9.999999999999999547e-07 4.589996856647197976e-02
1.078787878787878851e+00 9.999999999999999547e-07 4.066030506611561374e-02
1.090909090909090828e+00 9.999999999999999547e-07 3.601876994044890534e-02
1.103030303030303028e+00 9.999999999999999547e-07 3.190708446268237380e-02
1.115151515151515227e+00 9.999999999999999547e-07 2.826476419355643255e-02
1.127272727272727204e+00 9.999999999999999547e-07 2.503822923249909502e-02
1.139393939393939403e+00 9.999999999999999547e-07 2.218001603714385081e-02
1.151515151515151603e+00 9.999999999999999547e-07 1.964807921677677940e-02
1.163636363636363580e+00 9.999999999999999547e-07 1.740517302883106202e-02
1.175757575757575779e+00 9.999999999999999547e-07 1.541830348001030360e-02
1.187878787878787978e+00 9.999999999999999547e-07 1.365824297224257390e-02
1.199999999999999956e+00 9.999999999999999547e-07 1.209910035372383473e-02
