# s, n_e, T_e
8.484848484848485084e-01 3.659604967322907812e+13 1.730956361511373220e-01
8.606060606060605966e-01 3.639974531624084375e+13 1.631042910531997348e-01
8.727272727272726849e-01 3.620905762592789844e+13 1.534533428409516620e-01
8.848484848484848841e-01 3.602162000419399219e+13 1.440091114235457492e-01
8.969696969696969724e-01 3.583997013342293750e+13 1.349553835218111897e-01
9.090909090909090606e-01 3.566262380730588281e+13 1.262257352290770684e-01
9.212121212121212599e-01 3.548809241793921094e+13 1.177099433868401684e-01
9.333333333333333481e-01 3.531990259929930469e+13 1.097285052009407125e-01
9.454545454545454364e-01 3.515431497877333984e+13 1.019931437019571951e-01
9.575757575757575246e-01 3.499225891283058984e+13 9.459174342093104593e-02
9.696969696969697239e-01 3.483472658098620312e+13 8.767248687407837304e-02
9.818181818181818121e-01 3.467913804919736719e+13 8.097204832905992300e-02
9.939393939393939004e-01 3.452786061112273047e+13 7.479303695654490602e-02
1.006060606060606100e+00 9.999999999999999547e-07 6.748692911714589127e-02
1.018181818181818077e+00 9.999999999999999547e-07 5.978302843289712981e-02
1.030303030303030276e+00 9.999999999999999547e-07 5.295855857368618469e-02
1.042424242424242475e+00 9.999999999999999547e-07 4.691312902206946911e-02
1.054545454545454453e+00 9.999999999999999547e-07 4.155780923642597019e-02
1.066666666666666652e+00 9.999999999999999547e-07 3.681382044925433222e-02
1.078787878787878851e+00 9.999999999999999547e-07 3.261137680188481991e-02
1.090909090909090828e+00 9.999999999999999547e-07 2.888865876826035226e-02
1.103030303030303028e+00 9.999999999999999547e-07 2.559090376646562526e-02
1.115151515151515227e+00 9.999999999999999547e-07 2.266960058055826621e-02
1.127272727272727204e+00 9.999999999999999547e-07 2.008177574234321083e-02
1.139393939393939403e+00 9.999999999999999547e-07 1.778936137549857674e-02
1.151515151515151603e+00 9.999999999999999547e-07 1.575863520280277458e-02
1.163636363636363580e+00 9.999999999999999547e-07 1.395972447875776755e-02
1.175757575757575779e+00 9.999999999999999547e-07 1.236616655027135761e-02
1.187878787878787978e+00 9.999999999999999547e-07 1.095451958108117907e-02
1.199999999999999956e+00 9.999999999999999547e-07 9.704017713529662983e-03
